               name | period_in_days | planet_radius_in_earth_radii | planet_equilibrium_temperature |            rp_over_rs |          transit_depth | semimajor_axis_in_au
      Kepler-1689 b |          8.483 |                        0.947 |                            nan |  0.009043739968137605 |  8.178923261128958e-05 |                  nan
       Kepler-169 b |       3.250619 |                         1.13 |              1050.314709467638 |  0.013631202575217688 | 0.00018580968364662132 |                 0.04
       Kepler-169 c |       6.195469 |                         1.21 |              843.6330760750194 |  0.014596243465498586 | 0.00021305032330411016 |                0.062
       Kepler-169 d |       8.348125 |                         1.25 |               767.041411806547 |  0.015078763910639035 |  0.0002273691210727902 |                0.075
       Kepler-169 e |      13.767102 |                          2.2 |              648.2683127412714 |  0.026538624482724704 |  0.0007042985894350751 |                0.105
       Kepler-169 f |      87.090195 |                         2.58 |              350.5921753515412 |   0.03112256871155897 |  0.0009686142832057094 |                0.359
      Kepler-1690 b |        234.636 |                        2.811 |                            nan |  0.029621763740811782 |  0.0008774488871164716 |                  nan
      Kepler-1691 b |         3.8482 |                        1.835 |                            nan |  0.013903368032910545 | 0.00019330364265855883 |                  nan
      Kepler-1692 b |        5.95966 |                        1.112 |                            nan |  0.010845416983965331 | 0.00011762306955608367 |                  nan
      Kepler-1693 b |        12.0999 |                        1.289 |                            nan |  0.013277986766218807 |  0.0001763049325638818 |                  nan
      Kepler-1694 b |        3.89526 |                         1.18 |                            nan |  0.015025150527845652 | 0.00022575514838442048 |                  nan
      Kepler-1695 b |         4.7329 |                        1.119 |                            nan |  0.010798807562243253 | 0.00011661424476636206 |                  nan
      Kepler-1696 b |        65.9409 |                         2.81 |                            nan |   0.02028485556381778 |  0.0004114753652449492 |                  nan
      Kepler-1697 b |        33.4969 |                         1.26 |                            nan |  0.018049280401034925 | 0.00032577652299518346 |                  nan
      Kepler-1698 b |         1.2107 |                        1.073 |                            nan |  0.013293438263619374 | 0.00017671550086865968 |                  nan
      Kepler-1699 b |        3.49082 |                        1.567 |                            nan |  0.025653716452083197 |  0.0006581131678038841 |                  nan
        Kepler-17 b |      1.4857108 |                        14.68 |             1774.5866507789642 |   0.12817581196054673 |   0.016429038771745435 |              0.02591
       Kepler-170 b |       7.930592 |                          3.2 |              982.6045828928393 |   0.02848276025683428 |  0.0008112676318482984 |                 0.08
       Kepler-170 c |      16.665863 |                         2.86 |              767.8707613595182 |  0.025456466979545636 |  0.0006480317110806973 |                0.131
      Kepler-1700 b |        234.239 |                        2.901 |                            nan |   0.02332986352254072 |   0.000544282531980376 |                  nan
      Kepler-1701 b |        169.134 |                        2.222 |                            nan |  0.024543431509565644 |  0.0006023800302647397 |                  nan
      Kepler-1702 b |        18.5012 |                        1.602 |                            nan |   0.01984723960700675 | 0.00039391292001793744 |                  nan
       Kepler-171 b |       4.166972 |                         2.34 |              1115.118499008808 |  0.025539117846362345 |  0.0006522465403703836 |                 0.05
       Kepler-171 c |      11.463462 |                         2.56 |                796.51321357772 |   0.02794023149003744 |  0.0007806565357168798 |                0.098
       Kepler-171 d |      39.595519 |                         1.89 |              528.0239129555005 |    0.0206277490297542 |  0.0004255040300345253 |                0.223
       Kepler-172 b |       2.940309 |                         2.35 |             1384.6055257560615 |  0.019948646181038015 | 0.00039794848445624256 |                 0.04
       Kepler-172 c |       6.388996 |                         2.86 |             1061.9439616195052 |   0.02427792684160371 |  0.0005894177317262618 |                0.068
       Kepler-172 d |      14.627119 |                         2.25 |              806.1485042049875 |  0.019099767620142778 |  0.0003648011231434545 |                0.118
       Kepler-172 e |      35.118736 |                         2.76 |              602.8577224734072 |  0.023429048280708475 |  0.0005489203033397687 |                0.211
       Kepler-173 b |       4.263742 |                         1.29 |             1293.7900601648685 |   0.01244902748462359 | 0.00015497828531291352 |                0.048
       Kepler-173 c |       8.005777 |                         2.43 |              1042.002039666442 |   0.02345049363382583 |  0.0005499256516701058 |                0.074
       Kepler-174 b |       13.98179 |                         1.96 |              585.9343575626175 |  0.028982357059726332 |  0.0008399770207374687 |                  0.1
       Kepler-174 c |      44.000529 |                         1.49 |             400.53648099004243 |  0.022032506132138897 |  0.0004854313264627381 |                0.214
       Kepler-174 d |      247.35373 |                         2.19 |             225.19286707494834 |  0.032383347939184015 |  0.0010486812237502537 |                0.677
       Kepler-175 b |      11.903515 |                         2.56 |              906.8981747079466 |  0.023237420249140047 |  0.0005399776998351439 |                0.105
       Kepler-175 c |      34.035257 |                          3.1 |               636.741821727328 |  0.028139063582943026 |  0.0007918068993249104 |                0.213
